Rango de edades,Impresiones,Porcentaje del total conocido
18-24,"1,305,975",13.98%
25-34,"2,529,129",27.08%
35-44,"2,456,033",26.30%
45-54,"1,541,271",16.50%
55-64,"1,108,357",11.87%
65 o más,"430,210",4.61%
