Nombre de la campaña,Nombre del grupo de anuncios,Costo,Costo (Comparación),Clics,Clics (Comparación),Interacciones,Interacciones (Comparación)
PEDRO_PRE_CAMPAÑA,,ARS 4325490.79,ARS0.00,"20,768",0,"20,768",0
ALCANCE,ALCANCE,ARS 3131312.32,ARS0.00,"1,042",0,"36,982",0
youtube 15,youtube 15,ARS 2887445.64,ARS0.00,0,0,"153,750",0
PEDRO_PRE_CAMPAÑA #2,,ARS 2213761.06,ARS0.00,"5,627",0,"5,627",0
ALCANCE #2,,ARS 1379049.54,ARS0.00,340,0,"17,117",0
ALCANCE,ALCANCE #2,ARS 999719.04,ARS0.00,272,0,"7,104",0
youtube 15,youtube 15 #2,ARS 681719.99,ARS0.00,0,0,"22,779",0
youtube 15,GUARDAPOLVO 15,ARS 583337.20,ARS0.00,0,0,"10,191",0
