Inicio del informe,Fin del informe,Nombre de la campaña,Entrega de la campaña,Presupuesto del conjunto de anuncios,Tipo de presupuesto del conjunto de anuncios,Configuración de atribución,Resultados,Indicador de resultado,Alcance,Impresiones,Costo por resultados,Importe gastado (ARS),Finalización
2025-02-28,2025-03-09,EL PROFE - PRECAMPAÑA,recently_completed,Con el presupuesto del conjunto de anuncios,0,7 días tras clic o 1 día tras visualización,614719,reach,614719,1435478,0.72,ARS 441332.83,2025-03-07
2025-02-28,2025-03-09,EL PROFE - PRECAMPAÑA - FLYER,recently_completed,Con el presupuesto del conjunto de anuncios,0,7 días tras clic o 1 día tras visualización,22575,reach,22575,33599,9.16,ARS 206814.80,2025-03-07
2025-02-28,2025-03-09,EL PROFE PRECAMPAÑA - FLYER,inactive,Con el presupuesto del conjunto de anuncios,0,-,22298,reach,22298,26523,9.33,ARS 208001.37,2025-03-07
2025-02-28,2025-03-09,EL PROFE PRECAMPAÑA - FLYER - Copia,recently_completed,Con el presupuesto del conjunto de anuncios,0,7 días tras clic o 1 día tras visualización,190592,reach,190592,209130,1.27,ARS 241610.92,2025-03-07
2025-02-28,2025-03-09,ALTO VERDE - EL PROFE,active,Con el presupuesto del conjunto de anuncios,0,7 días tras clic o 1 día tras visualización,8049,reach,8049,9232,6.54,ARS 52634.37,2025-03-11
2025-02-28,2025-03-09,PEDRO VIDEO,active,Con el presupuesto del conjunto de anuncios,0,7 días tras clic o 1 día tras visualización,123363,reach,123363,132587,0.55,ARS 67778.82,2025-03-11
2025-02-28,2025-03-09,GELATINA RAP,active,Con el presupuesto del conjunto de anuncios,0,7 días tras clic o 1 día tras visualización,8694,reach,8694,9680,1.41,ARS 12225.72,2025-03-15
