Nombre de la campaña,Nombre del grupo de campañas,Estado de la campaña,Costo,Clics,CTR
PEDRO_PRE_CAMPAÑA,,Habilitado,ARS 3367417.64,"16,954",0.70%
youtube 15,,Detenida,ARS 2312388.47,0,0.00%
ALCANCE,,Detenida,ARS 1674584.91,409,0.04%
