Género,Rango de edades,Impresiones,Porcentaje del total conocido
Hombre,18-24,"356,159",7.31%
Hombre,25-34,"619,166",12.70%
Hombre,35-44,"602,901",12.37%
Hombre,45-54,"365,991",7.51%
Hombre,55-64,"256,919",5.27%
Hombre,65 o más,"87,175",1.79%
Mujer,18-24,"331,387",6.80%
Mujer,25-34,"653,014",13.40%
Mujer,35-44,"659,362",13.53%
Mujer,45-54,"443,035",9.09%
Mujer,55-64,"337,153",6.92%
Mujer,65 o más,"162,672",3.34%
